iter	Passed	Remaining
0	2	207
1	4	233
2	7	230
3	8	210
4	10	205
5	13	206
6	15	201
7	17	200
8	19	198
9	21	196
10	23	191
11	25	186
12	27	186
13	29	182
14	32	182
15	34	182
16	38	185
17	39	180
18	41	176
19	43	172
20	44	168
21	46	165
22	48	163
23	50	160
24	52	158
25	54	155
26	56	152
27	57	149
28	60	147
29	61	144
30	64	143
31	65	140
32	67	136
33	68	133
34	70	130
35	71	126
36	72	124
37	74	121
38	75	117
39	76	114
40	77	112
41	78	108
42	79	105
43	80	102
44	82	100
45	84	98
46	85	96
47	87	94
48	89	92
49	90	90
50	91	88
51	93	86
52	94	83
53	95	81
54	97	79
55	98	77
56	100	75
57	101	73
58	103	71
59	104	69
60	105	67
61	107	65
62	108	63
63	109	61
64	110	59
65	111	57
66	112	55
67	114	53
68	115	51
69	116	50
70	118	48
71	119	46
72	120	44
73	121	42
74	122	40
75	123	38
76	124	37
77	125	35
78	126	33
79	127	31
80	128	30
81	129	28
82	130	26
83	132	25
84	134	23
85	135	22
86	136	20
87	138	18
88	139	17
89	140	15
90	140	13
91	141	12
92	142	10
93	144	9
94	145	7
95	146	6
96	147	4
97	148	3
98	149	1
99	150	0
